username,text,date
alltwoghosts,@isaluvschalamet WAIT LEMME SEND U THE TIKTOK I JUST SAW ITS SO🤨🤨🤨🤨,2023-03-30 03:23:17+00:00
TheNarrator000,"@SariArhoHavren but perhaps i should correct myself - 

if ""authoritarianism"" means anything, it applies to the tik… https://t.co/W56LIv4gdP",2023-03-30 03:23:17+00:00
GregPittman1957,Check out Mike Sheridan's video! #TikTok https://t.co/ilZoR4zejk @RepMTG great video,2023-03-30 03:23:17+00:00
Youssefdurkan,"Whenever im bored i just watch that one pologomy couple on tiktok, like i LIVE for Shanice😭 they need to do a story… https://t.co/03VLuczTTa",2023-03-30 03:23:17+00:00
SueLaniMadsen,"@DivineComity @itsonlywords Agreed . .  . it does, however, make the calls for a Trans Day of ""Vengeance"" and using… https://t.co/0H6vtjNaBi",2023-03-30 03:23:16+00:00
Crooklock,TikTok ban backup plan? ByteDance-owned Instagram rival Lemon8 hits the US App Store’s Top 10 | TechCrunch https://t.co/wqH46pQBIG,2023-03-30 03:23:12+00:00
Grimey_D,Soooo what happens when tiktok is officially banned? Does it jus stop working on people’s phones lol #AskTwitter… https://t.co/EKCbbCgsqo,2023-03-30 03:23:11+00:00
jett_pearll,"I hope people realize @tiktok_us  is poison and fucks with your mental health. I also know I sound like a psycho, b… https://t.co/7WR8KhCEZE",2023-03-30 03:23:11+00:00
kyungsoocnd,DROP THAT TIKTOK NOW https://t.co/Uv5B8vxuY1,2023-03-30 03:23:10+00:00
laylag876,@miraculouskt I watched dreams face rev live cause it was trending all over tiktok the weekend before and so I watc… https://t.co/oVdPaBCpjX,2023-03-30 03:23:07+00:00
Gerardo43009504,Check out Los Reporteros MX's video! #TikTok https://t.co/zwL3DnnlNB,2023-03-30 03:23:06+00:00
_surreal__z,"If someone says they're an Ot5  they're ultimately larries and i don't trust them . I don't know,  even if they're… https://t.co/3XmPCShU77",2023-03-30 03:23:06+00:00
josephdklein,She survived Auschwitz. Now she’s teaching Gen Z about it — on TikTok. https://t.co/oyuu5WIO7Z,2023-03-30 03:23:05+00:00
DaisyShea76,Terrifying and beautiful at the same time.❤️ https://t.co/SfgzsIAUr2,2023-03-30 03:23:05+00:00
anya_gianna,@TweetinJoshBe You already have NSA for that weirdo. But Americans always wanted totalitarian government to babysit… https://t.co/i4Ygzokhg2,2023-03-30 03:23:05+00:00
veloctiydom,@thatgworllll26 @totamral @chocolateTwinB @grindfacetv_ wht the tiktok?,2023-03-30 03:23:04+00:00
Janwarr48315436,Check out Candace Owens Podcast's video! #TikTok https://t.co/giIiPnsDUL,2023-03-30 03:23:04+00:00
crystalds79,Don't miss out. https://t.co/r46mmRGkUm,2023-03-30 03:23:01+00:00
marie_shallah,"Proud Proud Proud

VPCA BACK2BACK KD
#KDEstrada 

Check out VP Choice Awards's video! #TikTok https://t.co/IJGG0vIJUe",2023-03-30 03:22:59+00:00
IndyLife,Sofia Coppola’s daughter Romy says she was grounded for trying to charter helicopter https://t.co/w9RpgQIjvu https://t.co/o7NeA46dda,2023-03-30 03:22:57+00:00
Grimey_D,Soooo what happens when tiktok is officially banned? Does it jus stop working on people’s phones lol… https://t.co/6hJqwMaXRb,2023-03-30 03:22:57+00:00
Translation_Is,Check out Hawkeye Whackamole's video! #TikTok https://t.co/bmIsxqROoq,2023-03-30 03:22:55+00:00
aileunn,@secret_vent1 hello po sino po eto is this from tiktok ?? if yea message me pls !,2023-03-30 03:22:54+00:00
LathellH,Check out Elhadj's video! #TikTok https://t.co/vKcKNwn8Vy,2023-03-30 03:22:53+00:00
zuyuuB,"@/bts_official_bighit tiktok &amp; @/bts.bighitofficial insta reel!

Jimin doing #LikeCrazy challenge with &amp;Team https://t.co/dAxFnKve0n",2023-03-30 03:22:51+00:00
Claude60239982,Don't miss out. https://t.co/PZUZYsTb4O,2023-03-30 03:22:50+00:00
Kuri_G,@AurelianofRome Patriot Act II and a replacement for the failed Disinformation Governance Board all wrapped into on… https://t.co/dRF6G2ajPq,2023-03-30 03:22:50+00:00
beyondlihui,"Congressman Cotton questioned the Secretary of Homeland Security, revealing that last year Homeland Security approv… https://t.co/CyWvjA6t14",2023-03-30 03:22:50+00:00
mamaoffour1976,Don't miss out. https://t.co/EBpi6k4UX5,2023-03-30 03:22:49+00:00
HackerNewsTop10,"TikTok Ban Bill Is Patriot Act 2.0 Trojan Horse
Link: https://t.co/3XNxV6QQlU
Comments: https://t.co/ZVzkLppCwW",2023-03-30 03:22:48+00:00
