username,text,date
world1__wide,"INBOX ME FOR YOUR ACCOUNT RECOVERY AND HACKING
#facebookdown #Facebook #snapchatsupport #snapchatleaks #TikTok… https://t.co/cWGzoUicVv",2023-04-25 23:02:16+00:00
world1__wide,"INBOX ME FOR YOUR ACCOUNT RECOVERY AND HACKING
#facebookdown #Facebook #snapchatsupport #snapchatleaks #TikTok… https://t.co/Kl9fOu5DLv",2023-04-25 22:53:49+00:00
world1__wide,"INBOX ME FOR YOUR ACCOUNT RECOVERY AND HACKING
#facebookdown #Facebook #snapchatsupport #snapchatleaks #TikTok… https://t.co/VVALlkwQRM",2023-04-25 22:53:26+00:00
niccastle_,"I honestly really like lemon8, the comments are more positive, people like pictures just as much as videos on there… https://t.co/0M870wYE1D",2023-04-25 20:12:57+00:00
RiteBoost,Why #creator Kat Stickler isn’t worried about a possible #TikTokBan https://t.co/hZFMYqCZKD 👈🏼 the magic's in the l… https://t.co/a149Gbhkmi,2023-04-25 18:23:05+00:00
every_art_hoe,Y’all know the trying to get rid of tiktok is because we’re educating each other more than the education system and… https://t.co/V5zFwW0jm3,2023-04-25 17:20:55+00:00
ChesterGuq,"@tiktok_us @TikTokSupport @tiktokcreators @tiktok_uk #tiktokban #tiktokdown #TiktokLive 
/ / guys please help, I ca… https://t.co/mtNCgWfca2",2023-04-25 17:05:15+00:00
TheDeepDiveFeed,"Nearly Half of U.S. Voters Would Ban TikTok, Particularly Those Who Have Never Used It
#TikTok #tiktokban #SocMed… https://t.co/IsBT4gcval",2023-04-25 15:59:49+00:00
NiazAli24946064,"My Account Follow Me
TikTok ID 🪪🆔 #tiktokban #2millionganggang #ShakaholaMassacre #virl #OrangeCrush2k23 https://t.co/dA8t9viQeV",2023-04-25 14:38:53+00:00
SGDietzMusic,👍Will #TikTok be #Banned in the USA??🔥🔥🔥 #TikTokBan #Ban #NewToTwitter https://t.co/YAioDO4CVv,2023-04-25 14:38:48+00:00
DailyTopFeeds_,"ByteDance is pushing a new app in the U.S. as TikTok faces a ban 

https://t.co/fl9DeOjDVZ 

#dailytopfeeds #news… https://t.co/7sbcc8EwHb",2023-04-25 14:30:02+00:00
thetokinasian,What happened to “Vine” it was booming before TikTok and shut down right before?! #justsaying #tiktokban,2023-04-25 13:41:54+00:00
lordofcheeseits,Man I hate that my TikTok got shadow banned going from a couple 1000 per vid to less then 100 hurts more then you t… https://t.co/exO1t5He21,2023-04-25 02:28:18+00:00
reanne_stan,If I lose all my comfort favorite tiktok videos because America is basically jealous of an app and the fact that pe… https://t.co/whtdECGJG3,2023-04-25 01:10:28+00:00
RapidDragonUSA,"#tiktokban #BanTikTok #WeChat 

All social media apps controlled by China's Communist Party must be banned immediat… https://t.co/PFQ39XBczp",2023-04-24 23:01:13+00:00
LE6ENDTV,"I recently stepped up my social media game. And yes I also started a @tiktok_us account, 2 weeks ago. 

With all th… https://t.co/y8L0ZaqJ68",2023-04-24 18:49:36+00:00
CaroStokely,"Only because I’ve learned so much about health, healing, unlearning bad habits, the list goes on. My feed is educat… https://t.co/QQiWkI50ef",2023-04-24 16:41:43+00:00
_itzjoshajake,The American media refuses to acknowledge the view of the USA by other nations. This is one of the primary reasons… https://t.co/XNDPrG70ac,2023-04-24 14:56:27+00:00
dellyranksindia,"TikTok Ban Divides Young and Old, Democrats and Republicans, WSJ Poll Finds #tiktokban #usa https://t.co/b62PX9W0sz
https://t.co/mtxwkuiPji",2023-04-24 13:50:30+00:00
ShapingOpinion,"This is our conversation with the Civil Liberties Director at the Electronic Frontier Foundation (EFF), David Green… https://t.co/7djzaGDHXI",2023-04-24 11:35:57+00:00
Capterra,60% of marketers surveyed spend HALF of their #socialmedia budget on #TikTok. Here's what a ban could mean for them… https://t.co/OQ7QTasK7v,2023-04-24 09:01:00+00:00
RiteKeep,Why #creator Kat Stickler isn’t worried about a possible #TikTokBan https://t.co/b3GIGPNxRn 👈🏼 the magic's in the l… https://t.co/n3nBsWzl1h,2023-04-24 07:20:07+00:00
JennyRabbit4,"As #Tulsi says, this is bad legislation. We don't want any segment of government making these decisions for us, but… https://t.co/mjTpc02lPl",2023-04-24 06:24:15+00:00
GetReal33386611,"Why, ABC, are you promoting TikTok with gratuitous click bait? Shame on you. #GetReal #tiktokban #China #Media… https://t.co/H785owVfR0",2023-04-24 05:35:56+00:00
MetaDarius,What do you think of my opinion? #tiktok #usa #tiktokban #fyp #viral https://t.co/FejXM3kgVd,2023-04-24 04:22:17+00:00
magicytes,$bbig #stockmarketnews #Court #justice #finra #SEC #StockMarket @UtahPolitician @Jfromm1968_CRTD @JohnnyTabacco… https://t.co/SsO8G6IkjU,2023-04-23 22:40:10+00:00
